,company_name,model,price,status,body_type,fuel_type,engine_desc,fuel_system,cooling,displacement,max_power,max_torque,cylinders_count,overall_lenght,overall_width,overall_height,seat_height,ground_clearance,wheelbase,kerb_wet,fuel_tank,bore,stroke,gears_count,clutch,gearbox,front_brake,rear_brake,front_suspension,rear_suspension,zero_cent,speedometer,tachometer,trip_meter,clock,electric_start
0,Accura,Accura Active,"
NA
",available,Scooterette,NaN,Battery,NaN,NaN,NaN,20AH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
1,Accura,Accura GenX,"
NA
",available,Scooterette,NaN,Battery,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
2,Accura,Accura Yadi,"
NA
",available,Scooterette,NaN,Battery,NaN,NaN,NaN,20AH,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
3,Adventure Wheels,Adventure Wheels Dirt Bike,"
NA
",available,Off-road,NaN,"125cc, 4-stroke",NaN,Air Cooling,125 cc,9 Bhp @ 8500 rpm,NaN,NaN,1820.00 mm,800.00 mm,1060.00 mm,NaN,340.00 mm,1250.00 mm,81.00 kg,3.00 litres,54 mm,54 mm,5 Manual,NaN,NaN,Hydraulic Disk,Hydraulic Disk,Inverted hydraulic shock,Air /Oil shock Absorber,NaN,Analogue,None,None,NaN,0
4,Altius,Altius Scimitar,"
₹ 2,25,000
",expected,Adventure,Diesel,"Diesel, indirect injection (idi)",NaN,Liquid Cooling,670 cc,33 Bhp @ 5700rpm,54 Nm @ 3300rpm,1,2296.00 mm,960.00 mm,1219.00 mm,NaN,211.00 mm,1481.00 mm,176.00 kg,NaN,NaN,NaN,5,NaN,NaN,280mm petal disc,240mm petal disc,Telescopic forks,Linked monoshock,9.70 secs,Digital,Digital,Digital-2,NaN,1
5,Amez,Amez Achiever,"
NA
",available,Scooterette,NaN,Permanent Magnet BLDC,NaN,NaN,NaN,250W,NaN,NaN,1830.00 mm,670.00 mm,1090.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
6,Amez,Amez Lovely,"
NA
",available,Scooterette,NaN,Permanent Magnet BLDC,NaN,NaN,NaN,250W,NaN,NaN,1720.00 mm,630.00 mm,1020.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,Drum,NaN,NaN,NaN,Analogue,None,None,NaN,1
7,Ampere,Ampere Aadi,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
8,Ampere,Ampere Abhi,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
9,Ampere,Ampere Adya,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
10,Ampere,Ampere Arya,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,500W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
11,Ampere,Ampere Asva,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
12,Ampere,Ampere Bobo,"
NA
",available,Scooterette,NaN,NA,NaN,NaN,NaN,250W,NA,NaN,1800.00 mm,700.00 mm,1100.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NA,NaN,NA,NA,NA,NA,NaN,Analogue,None,None,NaN,1
13,Ampere,Ampere Diti,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
14,Ampere,Ampere V60,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,1800.00 mm,700.00 mm,1100.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
15,Ampere,Ampere Aadi,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
16,Ampere,Ampere Abhi,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
17,Ampere,Ampere Adya,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
